Country/Region,Confirmed,Deaths,Recovered,Active,Lat,Long,Mortality_Rate,Recovery_Rate
Spain,272421,28752,150376,101617,40.463667,-3.74922,10.554252425473807,55.19985610507266
Sri Lanka,2805,11,2121,947,7.873053999999999,80.77179699999998,0.39215686274509803,75.61497326203208
Sudan,11424,720,5939,4778,12.8628,30.2176,6.302521008403361,51.98704481792718
Suriname,1483,24,925,534,3.9193,-56.0278,1.6183412002697235,62.37356709372893
Sweden,79395,5700,0,73695,60.12816099999999,18.643501,7.179293406385792,0.0
Switzerland,34477,1978,30900,14349,46.8182,8.2275,5.737158105403602,89.62496736955072
Syria,674,40,0,634,34.802075,38.99681500000001,5.934718100890208,0.0
Taiwan*,462,7,440,314,23.699999999999996,121.0,1.5151515151515151,95.23809523809523
Tajikistan,7235,60,6028,1895,38.861,71.2761,0.82930200414651,83.31720801658604
Tanzania,509,21,183,305,-6.369028,34.888822,4.12573673870334,35.952848722986246
Thailand,3297,58,3111,1451,15.870032000000002,100.992541,1.7591750075826509,94.35850773430391
Timor-Leste,24,0,0,24,-8.874217,125.727539,0.0,0.0
Togo,874,18,607,251,8.6195,0.8248,2.059496567505721,69.45080091533181
Trinidad and Tobago,148,8,128,100,10.6918,-61.2225,5.405405405405405,86.48648648648648
Tunisia,1455,50,1157,798,33.886917,9.537499,3.436426116838488,79.51890034364261
Turkey,227019,5630,210469,80808,38.9637,35.2433,2.4799686369863316,92.7098612891432
US,4290259,148011,1325804,2816444,40.0,-100.0,3.4499315775574386,30.902656459668286
Uganda,1128,2,1071,546,1.373333,32.290275,0.1773049645390071,94.9468085106383
Ukraine,67096,1636,37202,28258,48.3794,31.1656,2.438297364969596,55.44592822224872
United Arab Emirates,59177,345,52510,17173,23.424076,53.847818,0.5829967723946804,88.73379860418744
United Kingdom,300111,45759,533,254352,24.54817254545455,-43.90224236363636,15.247358477363376,0.17760095431357065
Uruguay,1202,35,951,319,-32.5228,-55.7658,2.9118136439267883,79.11813643926789
Uzbekistan,21209,121,11674,9414,41.377491,64.585262,0.5705125182705455,55.042670564383045
Venezuela,15988,146,9959,7807,6.423799999999999,-66.5897,0.9131848886664998,62.29046785088816
Vietnam,431,0,365,163,14.058323999999999,108.277199,0.0,84.68677494199535
West Bank and Gaza,10621,78,3752,7382,31.9522,35.2332,0.7343941248470013,35.326240466999344
Western Sahara,10,1,8,6,24.215500000000002,-12.8858,10.0,80.0
Yemen,1691,483,833,580,15.552727000000003,48.516388,28.562980484920164,49.260792430514485
Zambia,4552,140,2815,2236,-13.133897,27.849332,3.0755711775043935,61.840949033391915
Zimbabwe,2704,36,542,2126,-19.015438,29.154856999999996,1.3313609467455623,20.04437869822485
